Datum,Frage,Link
M1,Das habe ich über mich gelernt,https://dl.dropboxusercontent.com/scl/fi/z36tw8jvnv5o6ppvyjiq6/Monat1.mp3?rlkey=a6yc4lhfe3hqvfs1wrvm3mcvu&dl=0
T29,Für welchen schönen Moment in der Natur bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/4cn51fr6wgfwas3y4hv7x/Tag29.mp3?rlkey=peyl3uyw0krv770vxia7hkksf&dl=0
T30,Für welche Begegnung in meinem Leben bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/dlp2bg4kpgs3lwf2q2rrg/Tag30.mp3?rlkey=m5dryx8x68declbsx6r8y8g00&dl=0
T31,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/7ygauv5y5zyo7v9aoffh0/Tag31.mp3?rlkey=8d8wiroj4ai9t0hngsskoghh4&dl=0
T32,Für welchen meiner Werte bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/g4zhup8yq6baoiskmryoc/Tag32.mp3?rlkey=8c8a1vyiqdl7upmbratrdbbrm&dl=0
T33,Für welches schöne Erlebnis zu zweit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/1bdhhpxd35zkgdrkmbgmo/Tag33.mp3?rlkey=p12ov9uosopf2puuuynf1i6f6&dl=0
T34,Für welche Erfahrung bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/7oxt3ivsqb25d2kblu3d6/Tag34.mp3?rlkey=aw355ba6hgot6luhtf7lhfau5&dl=0
W5,Das hat bei mir nächste Woche Priorität,https://dl.dropboxusercontent.com/scl/fi/87561sjbusbwf5f4l9mxe/Woche5.mp3?rlkey=ia3lyci3obz9bnapnvqljqxbc&dl=0
T36,Für welche Reise oder welches Abenteuer bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/ruty7so8pj8s2ket2nmbq/Tag36.mp3?rlkey=adacjf2qtejo97dkt2d9rgj05&dl=0
T37,Für was bin ich an meiner aktuellen Lebenssituation dankbar?,https://dl.dropboxusercontent.com/scl/fi/lt8n5guhz6uesnrbvisfn/Tag37.mp3?rlkey=ckd11glhc6s0wp927pk1sxf5i&dl=0
T38,Für welchen Ratschlag bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/jolcepf3j1402gkjn2om2/Tag38.mp3?rlkey=2jnb7wsm857o16qugqy7ii6qn&dl=0
T39,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/rhb1bnlqeyeqqskcoh9v6/Tag39.mp3?rlkey=jkdjcwqihfj90hjxpiyp0zvkf&dl=0
T40,Für welche Freundschaft bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/w7znb3whiglulvcbzhwfc/Tag40.mp3?rlkey=2jxyr1d5h8n401jktob9z78bj&dl=0
T41,Für welche materielle Sache bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/b8n67g5cspig72zpqsb07/Tag41.mp3?rlkey=juvpnuqmddtbc7jlprs1l240f&dl=0
W6,Diese Sache gibt mir nächste Woche Energie,https://dl.dropboxusercontent.com/scl/fi/go0fbxpv203hwu5unch0w/Woche6.mp3?rlkey=8l279y2pn1y7h6mgkn16ytguh&dl=0
T43,"Für welche Situation bin ich dankbar, in der ich mutig war?",https://dl.dropboxusercontent.com/scl/fi/8p7iv3v1homrfiohi8vhg/Tag43.mp3?rlkey=wh9j0m9htw8zfcsq9bn82v1sx&dl=0
T44,Für welchen Film bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/46z993rry7ucshbytczlz/Tag44.mp3?rlkey=pr0eouhvyf3iwcxs1acv5q4z4&dl=0
T45,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/ybwli9rdnn24l5t71ea4h/Tag45.mp3?rlkey=am8d3pb9ix0mxud7k7od5s22x&dl=0
T46,Für welche körperliche Fähigkeit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/hpgo9dssp4q9091bakb9i/Tag46.mp3?rlkey=ta1snqw102psjdr8x096kfoad&dl=0
T47,Für was bin ich an meinem Wohnort dankbar?,https://dl.dropboxusercontent.com/scl/fi/lg64l6tkil5hszxu0afo5/Tag47.mp3?rlkey=ubzw5hc7c72vi8ccg9zydnq1m&dl=0
T48,"Für welche Person bin ich dankbar, die mich positiv beeinflusst hat?",https://dl.dropboxusercontent.com/scl/fi/4sqe55zlpvnj7bcbyrpki/Tag48.mp3?rlkey=ym1etv65lnk0w1tafybzu37u2&dl=0
W7,So kann ich mehr Entspannung in die nächste Woche bringen,https://dl.dropboxusercontent.com/scl/fi/q0ob0oe6v94qnllfbi3cc/Woche7.mp3?rlkey=jna8ubs1zczk2q2megw6z3su5&dl=0
T50,Für welchen persönlichen Erfolg bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/8zzpnp4777ne5dqfiz9ko/Tag50.mp3?rlkey=e9ct4isf7gpi7m0a4xvgfavq4&dl=0
T51,Für welche Lehrerin oder welchen Lehrer bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/iscr4tv7lnqanrszqgzui/Tag51.mp3?rlkey=j7il87zk5ifyws4d5a78ei4hr&dl=0
T52,Wofür bin ich mir selbst dankbar?,https://dl.dropboxusercontent.com/scl/fi/8b9vnpus100v195pzem22/Tag52.mp3?rlkey=sbt2zjr33iltozqmp5msupacd&dl=0
T53,Wofür bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/fck1x0f3y81mxlbj4ret4/Tag53.mp3?rlkey=od94a3jz8bq5sh8p5fl4thfb4&dl=0
T54,Für welche freundliche Geste bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/467clzb5asmq7n3aj5rsd/Tag54.mp3?rlkey=la5wqepkjhmabqfbboi0kuglz&dl=0
T55,"Für welchen Moment bin ich dankbar, in dem ich gelacht habe?",https://dl.dropboxusercontent.com/scl/fi/sotokyz3c51pljszgxjgb/Tag55.mp3?rlkey=pc7sq82omg78cjhpq6vv7rfrl&dl=0
W8,In dieser Sache möchte ich nächste Woche freundlicher mit mir umgehen,https://dl.dropboxusercontent.com/scl/fi/uhbaakl8f6n95xq3ek4a8/Woche8.mp3?rlkey=s3rsuhfi5yiuxxp57yow03qxc&dl=0
M2,Diese Erkenntnis habe ich bekommen,https://dl.dropboxusercontent.com/scl/fi/kzkk3bff4yuq8kuwe9w60/Monat2.mp3?rlkey=xsvyu3pcwpn76qrxqqqg79a6q&dl=0
T57,Für welches interessante Thema bin ich dankbat?,https://dl.dropboxusercontent.com/scl/fi/pm6lahhbm4dw8rj889d9w/Tag57.mp3?rlkey=n42xh0b1uqj55s0fp3rw7op15&dl=0
T58,Für welche Charaktereigenschaft bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/k2uq6956vrnoyo2r2gjg5/Tag58.mp3?rlkey=0fprt588q6ryn3rxhi7hqcv8t&dl=0
T59,Für welche Sicherheit bin ich dankbat?,https://dl.dropboxusercontent.com/scl/fi/y1pjnuenx3fsl6gwyecwa/Tag59.mp3?rlkey=nkpfzf4mqorcq6ym5snre1dvh&dl=0
T60,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/14yjul3pcjp9hnzo6lmoo/Tag60.mp3?rlkey=y1k7ae3xf8gv4n2c1nra26oi6&dl=0
T61,Für welche alltägliche Freude bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/8731lstdq7aq45i5begoc/Tag61.mp3?rlkey=epld6c52xthjbazjuh2m748t5&dl=0
T62,Für welche Herausforderung bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/2ecv7ls799pypcy7rrjkw/Tag62.mp3?rlkey=pajgk36vkba3hi5zu5i532psa&dl=0
W9,Diese ungesunde Gewohnheit möchte ich nächste Woche ablegen,https://dl.dropboxusercontent.com/scl/fi/qea0t16hir3dvc7h4ec02/Woche9.mp3?rlkey=4uj8de93umlk0a3qjo8sh9ei7&dl=0
T64,Für welche Person bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/2udzcjljh1avde0l0di0i/Tag64.mp3?rlkey=4bjuzz611app7iasxzdkorr9i&dl=0
T65,Für welche Fähigkeit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/0rfywc1hh91lla2aed3zq/Tag65.mp3?rlkey=2ulmbfjh1ks8zil2xvdin9vl2&dl=0
T66,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/icapxw21hrzhelm55fd3n/Tag66.mp3?rlkey=yeqb68wsm3vko5vvku3pq4sc9&dl=0
T67,"Für welche Sache bin ich dankbar, die mir Freude bereitet?",https://dl.dropboxusercontent.com/scl/fi/2642giwrovkf9odksvw77/Tag67.mp3?rlkey=muufsu8hzbrjrn6kahwogrdxx&dl=0
T68,"Für welche Sache bin ich dankbar, die nicht selbstverständlich ist?",https://dl.dropboxusercontent.com/scl/fi/c4plvxygh7az0uezmdwx0/Tag68.mp3?rlkey=iqi7ev13h44aap2fxhw5cohn1&dl=0
T69,Für welches schöne Erlebnis bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/3qn5l48094j6h1clns55m/Tag69.mp3?rlkey=ijetc0lxc2aw28x9wjdu132mx&dl=0
W10,Das ist meine Intention für die nächste Woche,https://dl.dropboxusercontent.com/scl/fi/o9puuklh38rb5vjp01okr/Woche10.mp3?rlkey=srnty3xta0tn10m77xgyqvn6g&dl=0
T71,"Für was bin ich dankbar, das früher selbstverständlich war?",https://dl.dropboxusercontent.com/scl/fi/5e3b7oum7e4o20kxmpf5v/Tag71.mp3?rlkey=2ozyk82drp9z09el2as5a74ii&dl=0
T72,Für welche Routine bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/uqk04gh1evy6d9zeeekm8/Tag72.mp3?rlkey=w213ez59ek6acg4vpl2nkvy6o&dl=0
T73,"Für welche Person, die mir mal geholfen hat, bin ich dankbar?",https://dl.dropboxusercontent.com/scl/fi/0ada58uo7bm26lhznchph/Tag73.mp3?rlkey=kc93n5h5r6usg1ymdd5zsd515&dl=0
T74,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/8ml8ihab0a4c4bhqa7mgl/Tag74.mp3?rlkey=6pzduv1ma8euji3qam1gebhx3&dl=0
T75,Für welchen gesunden Bereich meines Körpers bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/bu0mje4qzkexqi8chvic6/Tag75.mp3?rlkey=mggopkiu2028xbshxbnlgahml&dl=0
T76,Für welche Chance bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/hj3ktyojwc208qiehnj6v/Tag76.mp3?rlkey=g9ydtxjn8k5ny8sla9b8wbx8l&dl=0
W11,So werde ich nächste Woche besser auf meine Grenzen achten,https://dl.dropboxusercontent.com/scl/fi/ewkypllcph3ctidvis0cs/Woche11.mp3?rlkey=4f4m1fga9v2g4i1gz7jnyci0g&dl=0
T78,Für welchen Aspekt meiner körperlichen Gesundheit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/8lcbvp379zwtsn847nfjc/Tag78.mp3?rlkey=2vc7ikvtkc8xe8ikvxz8739im&dl=0
T79,Für welches Vorbild bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/6ulqkbmzr2ierb115eu43/Tag79.mp3?rlkey=540lgdc9v8ld20l5j2y1jvwid&dl=0
T80,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/o3y36u2sem7ux1mcc1pxo/Tag80.mp3?rlkey=lk9tqxnb063bfv6pnvnki1y89&dl=0
T81,Für welchen Ort in der Natur bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/454q3jxn7qfv1u53x84tm/Tag81.mp3?rlkey=yf1n2tzllttzq73z4yzlod1pd&dl=0
T82,Für welche Freude im Alltag bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/gpz67vo16jnza1f8xglhs/Tag82.mp3?rlkey=0lqk8c00ohaowviwgx57m3pyd&dl=0
T83,Für welches Buch bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/rla0gkpwrr5q5v3acvax4/Tag83.mp3?rlkey=z7yvctv8s5j8x4rsu1ghdelju&dl=0
W12,So bekomme ich nächste Woche neue Inspiration,https://dl.dropboxusercontent.com/scl/fi/u26x84qdanayszd61ke0y/Woche12.mp3?rlkey=rna3xnt5ebggc94ufi1ke7k3n&dl=0
M3,Das möchte ich loslassen,https://dl.dropboxusercontent.com/scl/fi/pz9jnmk1oz7y1wennyyvt/Monat3.mp3?rlkey=b2l9pfru564ha4xy7qdl7a7wg&dl=0
T85,Für welche Reise oder welches Abenteuer bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/4ddd30pbn7m2wcv0rsc5y/Tag85.mp3?rlkey=ro06sr0nm44c2fxjw0inek6xw&dl=0
T86,Für was bin ich an meiner aktuellen Lebenssituation dankbar?,https://dl.dropboxusercontent.com/scl/fi/07wrifgyug2z2oxym8cr5/Tag86.mp3?rlkey=szt2ajioq87s8hdmtgfuj1h10&dl=0
T87,Für welchen Ratschlag bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/91ospvazlw4aq5mv40x5y/Tag87.mp3?rlkey=4fjpd27wfm5txbwfk1lmu3v8w&dl=0
T88,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/u8fdmhkilabq3r6s22awd/Tag88.mp3?rlkey=kohwzd7upajn69ae7fm0bv7bn&dl=0
T89,Für welche Freundschaft bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/i9wa3sglrwweyrhg7ig8d/Tag89.mp3?rlkey=ovslzkwlu2zzw8326182rqz9n&dl=0
T90,Für welche materielle Sache bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/21nrtt99l7n4730s0aptl/Tag90.mp3?rlkey=p8opt6x5g4rjv4wggd54o28fs&dl=0
W13,Das möchte ich nächste Woche Gutes für meinen Körper tun,https://dl.dropboxusercontent.com/scl/fi/d4naujy266pjmrvzz3dz7/Woche13.mp3?rlkey=ajwlvqee5udw6ruw2tg6zir4n&dl=0
T92,Für welchen schönen Moment in der Natur bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/hi3uz1rimy9xthm9bvuux/Tag92.mp3?rlkey=jqu7swg6omjba7izjp6prizmw&dl=0
T93,Für welche Begegnung in meinem Leben bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/yp3du8bh9n9a3hvlmhidi/Tag93.mp3?rlkey=0d81fyalliqbpb0578o2fap2m&dl=0
T94,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/s3plu7xp8a80uwxgldlhp/Tag94.mp3?rlkey=a26e6ka4jn6bjq50vvl2na9ch&dl=0
T95,Für welchen meiner Werte bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/st5vgoh0s7c38rflgd16e/Tag95.mp3?rlkey=2tr5rq2kh15fb9nde5alt6l3r&dl=0
T96,Für welches schöne Erlebnis zu zweit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/sr7mcxf0iniuqnksvxzjl/Tag96.mp3?rlkey=f58a7m8pnvuwcchruq9spl7vk&dl=0
T97,Für welche Erfahrung bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/mzbsmp99rw92v5o4yme51/Tag97.mp3?rlkey=dpmjf970exmvzj7nu4hdd1yex&dl=0
W14,So werde ich nächste Woche mehr Zeit in der Natur verbringen,https://dl.dropboxusercontent.com/scl/fi/1njj99xfil4e0x8nbtyd5/Woche14.mp3?rlkey=6h787u3p7tsmejq8aghefk5tb&dl=0
T99,Für welchen persönlichen Erfolg bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/oh5uxmj5rwwqlbjhqz9rm/Tag99.mp3?rlkey=pr9rk4djnd0w174msegspgrkf&dl=0
T100,Für welche Lehrerin oder welchen Lehrer bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/otpr2bd2ccoublrrlhdr8/Tag100.mp3?rlkey=gnk91rpx7ziaqdciulz3tdyth&dl=0
T101,Wofür bin ich mir selbst dankbar?,https://dl.dropboxusercontent.com/scl/fi/moy5oaudfc2kndqtivtkq/Tag101.mp3?rlkey=9235fibzqo12p0eezdyc08y2p&dl=0
T102,Wofür bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/xrjrxhfhql3vq0c69awaa/Tag102.mp3?rlkey=viepd1bs8mg5znso6wtgjpfig&dl=0
T103,Für welche freundliche Geste bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/yd1vfj4m7cwkovdhc806f/Tag103.mp3?rlkey=82zt9yb2bhder1lgitardjlij&dl=0
T104,"Für welchen Moment bin ich dankbar, in dem ich gelacht habe?",https://dl.dropboxusercontent.com/scl/fi/260a5xwxqgsz4pcvhl7du/Tag104.mp3?rlkey=mxxxt6t5nz5ts09yn84afqiyi&dl=0
W15,So sorge ich nächste Woche für meine mentale Gesundheit,https://dl.dropboxusercontent.com/scl/fi/1bugolurqqwi3d8anof8h/Woche15.mp3?rlkey=ngi8ofgogkkmiaxzrcvub5nrx&dl=0
T106,"Für welche Situation bin ich dankbat, in der ich mutig war?",https://dl.dropboxusercontent.com/scl/fi/fmnc0immuee2u0ck3gxh3/Tag106.mp3?rlkey=jjfmn8a7mexilj95y9mdd9sbe&dl=0
T107,Für welchen Film bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/lq6us0t4zyean4tgksx86/Tag107.mp3?rlkey=yx4zcv5hrsesp9l3rh73cjy5q&dl=0
T108,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/xvpc5oaeu3xybzkbzcaqm/Tag108.mp3?rlkey=czpzqeevmkgrwi3avfrl8wp9s&dl=0
T109,Für welche körperliche Fähigkeit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/yyviv6iextf5p4mc3n996/Tag109.mp3?rlkey=cod0e8dkgkek1fxwwpsja600p&dl=0
T110,Für was bin ich an meinem Wohnort dankbar?,https://dl.dropboxusercontent.com/scl/fi/v3t8xp2b8m0ssi04yg29b/Tag110.mp3?rlkey=agf5cs7u3ryeeurofm35r5mlh&dl=0
T111,"Für welche Person bin ich dankbar, die mich positiv beeinflusst hat?",https://dl.dropboxusercontent.com/scl/fi/tlxeoqn105imc4ox8idlb/Tag111.mp3?rlkey=0r7vhkrc362ix064sbva08p2v&dl=0
W16,So baue ich nächste Woche bewusst mehr Ruhepausen ein,https://dl.dropboxusercontent.com/scl/fi/w06w5m20769hs1p9awxq0/Woche16.mp3?rlkey=r4nfqvgidw9jb389utderxijj&dl=0
M4,Auf das bin ich stolz,https://dl.dropboxusercontent.com/scl/fi/r63ef3bmnwx03a3qjhukp/Monat4.mp3?rlkey=cht8efcbuwumuzxmud6wnwthx&dl=0
